date,location,lat,lon,rainfall_mm,humidity_pct,solar_radiation_wm2,temp_c,temp_max_c,temp_min_c,wind_speed_10m_mps,cloud_cover_pct
2023-03-30,pit_entrance,-0.456,117.11,7.97,90.96,9.96,26.09,29.37,23.15,0.71,99.19
2023-03-31,pit_entrance,-0.456,117.11,9.73,93.08,18.74,25.66,27.96,23.85,0.63,96.88
2023-04-01,pit_entrance,-0.456,117.11,10.64,92.68,15.08,25.47,28.54,23.31,0.7,99.68
2023-04-02,pit_entrance,-0.456,117.11,2.31,91.29,9.82,25.7,28.24,23.19,0.6,99.66
2023-04-03,pit_entrance,-0.456,117.11,3.95,91.16,9.64,25.88,29.07,22.77,0.71,96.29
2023-04-04,pit_entrance,-0.456,117.11,3.81,92.66,11.09,25.46,28.4,23.32,0.56,99.86
2023-04-05,pit_entrance,-0.456,117.11,4.1,93.29,14.05,25.16,27.47,23.45,0.62,94.85
2023-04-06,pit_entrance,-0.456,117.11,54.19,88.99,18.13,26.23,29.59,23.12,0.56,81.92
2023-04-07,pit_entrance,-0.456,117.11,16.57,90.96,9.44,25.09,28.01,22.37,0.85,99.4
2023-04-08,pit_entrance,-0.456,117.11,4.14,89.65,21.0,25.9,28.93,23.55,0.66,80.08
2023-04-09,pit_entrance,-0.456,117.11,2.84,92.11,21.96,25.6,28.06,23.42,0.71,65.37
2023-04-10,pit_entrance,-0.456,117.11,6.47,93.74,14.32,25.81,27.99,23.21,0.83,86.29
2023-04-11,pit_entrance,-0.456,117.11,4.37,94.05,21.75,25.97,28.87,23.63,0.74,48.96
2023-04-12,pit_entrance,-0.456,117.11,1.11,90.56,20.29,26.8,29.95,24.15,0.63,50.98
2023-04-13,pit_entrance,-0.456,117.11,4.14,90.86,17.88,26.89,29.56,24.03,0.71,78.2
2023-04-14,pit_entrance,-0.456,117.11,2.64,94.47,7.64,26.35,28.78,24.29,0.75,95.43
2023-04-15,pit_entrance,-0.456,117.11,4.52,93.05,18.34,26.04,28.34,23.72,0.69,82.73
2023-04-16,pit_entrance,-0.456,117.11,3.6,92.51,6.49,26.43,29.21,23.95,0.69,96.26
2023-04-17,pit_entrance,-0.456,117.11,5.08,91.13,23.41,26.82,29.5,25.18,0.54,62.38
2023-04-18,pit_entrance,-0.456,117.11,7.73,94.23,20.09,25.92,27.81,24.01,0.72,93.75
